,juduls,link,sinopsis,tahuns
0,Get Lost: Urban Legend di Benteng Pendem,http://filmindonesia.or.id/movie/title/lf-g033-18-730609_get-lost-urban-legend-di-benteng-pendem,"Ringgo (Maxime Bouttier), Nadia (Agatha Valleri), pacar Ringgo, Vina (Angelica Simpeler), Anton (Aga Dirgantara), Bombom (Indra Kharisma) merencanakan petualangan seru saat mereka bolos sekolah. Di tengah perjalanan mereka harus memutar arah melalui jalan potong karena menghindari operasi polisi. Di tengah jalan pintas itu mobil mereka bermasalah dan mereka melihat sebuah bangunan tua: Benteng Pendem peninggalan Belanda.… ",2018
1,Titisan Setan,http://filmindonesia.or.id/movie/title/lf-t012-18-401478_titisan-setan,"Melissa (Wendy Wilson) terpaksa berbohong kepada neneknya (Muthia Datau) supaya bisa pergi bersama kekasihnya Bara (Baim Wong) untuk menghabiskan akhir pekan romantis bersama. Ia tidak mengetahui bahwa Bara berniat jahat dengan memasang cctv di seluruh sudut ruangan untuk merekam semua kegiatan romantis mereka. Rencana Bara hampir berjalan mulus, sampai muncul kejadian aneh di villa sewaan tersebut.… ",2018
2,Nini Thowok,http://filmindonesia.or.id/movie/title/lf-n010-18-058800_nini-thowok,"Sepeninggal neneknya, Nadine (Natasha Wilona) mendapat warisan losmen Mekar Jiwo di Solo. Nadine dan adiknya, Naya (Nicole Rossi), terpaksa pindah ke Solo untuk mengelola losmen tersebut karena Eyang Marni (Jajang C Noer) berpesan agar losmen itu tidak ditutup atau dijual. Orangtua Nadine sudah meninggal beberapa tahun lalu akibat kecelakaan mobil. Losmen yang sudah lama sepi itu… ",2018
3,Bayi Gaib: Bayi Tumbal Bayi Mati,http://filmindonesia.or.id/movie/title/lf-b026-18-063566_bayi-gaib-bayi-tumbal-bayi-mati,"Kebahagiaan Rafa (Ashraf Sinclair), kontraktor sukses, nyaris lengkap saat istrinya, Farah (Rianti Cartwright) mengabarkan kehamilannya setelah penantian dua tahun. Hal ini semakin memicu kedengkian Ronald (Fadika Royandi), saingan Rafa, yang menghalalkan segala cara untuk membuat Rafa menderita. Beruntunglah Rafa memiliki sahabat, Eddie (Mario Lawalata), yang selalu mendukung dan menjaganya. Namun, kebahagiaan Rafa dan Farah berangsur berubah… ",2018
4,Syirik,http://filmindonesia.or.id/movie/title/lf-s006-18-107560_syirik,"Lady (Nadhira Hill) jadi korban dari perjanjian buyutnya dengan setan. Perjanjian untuk untuk kaya raya kembali, dengan mengambil janin keturunannya lewat Romy (Guntur Triyoga) suami Lady yang jauh dari Tuhan. Iblis merasuki Romy untuk mengambil janin yang sedang dikandungnya. Lady berusaha lari. Lady bertemu kawan lamanya Marwan (Farid Ongky) yang menjadi ustadz ahli ruqyah. ",2018
5,Ghost,http://filmindonesia.or.id/movie/title/lf-g005-18-057252_ghost,"Sekelompok remaja iseng melakukan permainan Ouija yang mereka temukan di gudang sebuah rumah angker. Akibatnya, hantu menyeramkan yang menghantui rumah tersebut mulai meneror mereka. ",2018
6,Rumah Belanda,http://filmindonesia.or.id/movie/title/lf-r012-18-940424_rumah-belanda,"Raya (KellyTandiono), penulis, mendapatkan pekerjaan dari Hilda, jutawan, untuk menuliskan biografi Aline, ibunya yang berusia 80 tahun. Raya bersama kedua anaknya Rina (Grace Salsabila) dan Icha (Atiyah Shahab) berangkat ke Rumah Belanda seperti dijanjikan Hilda agar Raya lebih konsentrasi terhadap pekerjaanya. Mereka diantar oleh Dani (Agung Udijana), suami Raya. Di rumah itu mereka mendapat gangguan-gangguan mahluk… ",2018
7,Arumi,http://filmindonesia.or.id/movie/title/lf-a005-18-121416_arumi,"15 tahun setelah pembunuhan ibu dan kakaknya, Rasty (Ardina Rasti) mengajak empat sahabatnya ke villa orangtuanya. Kunjungan yang awalnya hanya untuk liburan,berakhir jauh dari dugaan mereka. Mereka bertemu anak kecil misterius bernama Lily (Rizka Maharani), yang berteman dengan sesosok astral bernama Arumi (Rebecca Tamara). Lily dan Arumi membuka rahasia apa yang sebenarnya terjadi 15 tahun lalu. ",2018
8,Leak,http://filmindonesia.or.id/movie/title/lf-l004-17-775449_leak,sinopsis tidak tersedia,2017
9,Mata Batin,http://filmindonesia.or.id/movie/title/lf-m009-17-356640_mata-batin,"Alia (Jessica Mila) memutuskan untuk meninggalkan Bangkok dan kembali ke Jakarta begitu kedua orang tuanya meninggal. Ia dan Abel (Bianca Hello), adiknya yang masih remaja, pindah ke rumah masa kecil mereka yang jauh dari tengah kota. Abel tidak menyukai rumah itu. Katanya, di sana ada ‘yang lain’. Alia dan Davin (Denny Sumargo), pacar Alia, tidak pernah… ",2017
10,Keluarga Tak Kasat Mata,http://filmindonesia.or.id/movie/title/lf-k020-17-208699_keluarga-tak-kasat-mata,"Genta bercerita tentang kantornya di Yogyakarta. Cerita dimulai saat kantornya pindah ke sebuah bangunan baru. Genta bersama rekan-rekannya mulai mengalami kejadian di luar nalar. Malam-malam mereka menjadi momen penuh ketegangan. Satu persatu karyawan dihadapkan dengan sosok-sosok yang ingin berpesan. Dugaan terus muncul, dan menimbulkan banyak pertanyaan. Akhirnya Genta dkk terpaksa meminta bantuan seorang kawan. Mereka percaya… ",2017
11,After School Horror 2,http://filmindonesia.or.id/movie/title/lf-a018-17-690162_after-school-horror-2,"Putra (Dheyvin Putra) terobsesi ingin menjadi pacar Eva (Yoriko Angeline), gadis cantik dan populer di SMA Kharisma. Eva sangat anti pada Putra yang penampilannya jauh dari kesan menarik. Rangga (Randy Martin) dan pacarnya Sandra (Cassandra Lee) menasehati Putra bahwa keinginannya itu sia-sia belaka karena Eva adalah wanita materielistis yang hanya ingin melihat putra celaka. Eva menantang… ",2017
12,Gasing Tengkorak,http://filmindonesia.or.id/movie/title/lf-g015-17-512789_gasing-tengkorak,"Veronica (Nikita Willy), seorang diva, tiba-tiba jatuh tidak sadarkan diri dalam sebuah pentas. Sesudah mendapat pertolongan, ia memutuskan untuk menenangkan diri. Michael (Rendy Krisna), manager Veronica, mendapat sebuah tempat: villa indah, mewah, dan jauh dari mana-mana. Sesudah masuk ke villa, Veronica menyuruh Michael meninggalkannya sendiri. Awal tinggal di villa itu adalah sebuah kesenangan bagi Veronica, tapi… ",2017
13,Devil’s Whisper,http://filmindonesia.or.id/movie/title/lf-d013-17-537827_devils-whisper,"Alejandro Duran atau Alex, 15 tahun, berasal dari keluarga Amerika Latin religius. Dia memiliki cita-cita untuk menjadi pastor. Semua rencananya berantakan, saat Alex menemukan sebuah kotak misterius yang diturunkan turun-temurun dari kakek dan neneknya. Dan saat dia membuka paksa kotak tersebut, tanpa disadari dia melepaskan roh jahat yang ingin merasuki dirinya. Alejandro Duran harus menemukan cara… ",2017
14,Gunung Bawakaraeng,http://filmindonesia.or.id/movie/title/lf-g017-17-251034_gunung-bawakaraeng,"Mitos-mitos Gunung Bawakaraeng membuat sekelompok pendaki penasaran untuk membuktikan kebenarannya, terutama pendaki asal Jakarta bernama Jey. Suatu hari Jey meminta para pendaki asal Makassar untuk mengantarnya ke Gunung Bawakaraeng, namun para pendaki asal Makassar ini tidak sanggup. Jey mengeluarkan 15 juta buat para pendaki tersebut agar dapat menemaninya. Perjalanan diawali dari Kampung Lembanna yang penuh dengan… ",2017
15,Mereka Yang Tak Terlihat,http://filmindonesia.or.id/movie/title/lf-m021-17-191634_mereka-yang-tak-terlihat,"Lidya (Sophia Latjuba), single parent, punya dua putrid: Saras (Estelle Linden) dan Laras (Bianca Hello). Saras adalah anak indigo, Saras bisa melihat mahluk-mahluk tak kasat mata seperti hantu ataupun jin dan sejenisnya. Ini dianggap tidak masuk akal oleh Lidya, sehingga membuat hubungan Lidya dengan Saras memiliki jarak. Lidya semakin lama semakin tidak mengerti dengan tingkah Saras.… ",2017
16,Hantu Sei Ladi,http://filmindonesia.or.id/movie/title/lf-h012-17-886487_hantu-sei-ladi,Hantu penunggu Jembatan Sei Ladi ternyata menyayangi Viola. Upaya keluarga untuk mengambil kembali arwah Viola dari hantu jembatan Sei Ladi tidak pernah berhasil. ,2017
17,Ruqyah: The Exorcism,http://filmindonesia.or.id/movie/title/lf-r017-17-694765_ruqyah-the-exorcism,"Ini sebuah kisah nyata yang terjadi pertengahan tahun 2012: Mahisa (Evan Sanders) ingin menolong seorang artis film bernama Asha (Celine Evangelista) yang merasa diganggu oleh makhluk halus. Karena terlalu banyak kejadian aneh yang dilihatnya, Mahisa yakin bahwa Asha dirasuki makhluk gaib. Setelah berkonsultasi dengan ustad kenamaan, ia mencoba melakukan ruqyah untuk membersihkan Asha. Ternyata apa yang… ",2017
18,Pengabdi Setan,http://filmindonesia.or.id/movie/title/lf-p013-17-151674_pengabdi-setan,"Rini beserta bapak, ibu, dan ketiga adik laki-lakinya terpaksa tinggal di rumah neneknya di luar kota setelah rumah mereka dijual untuk pengobatan ibunya. Ibunya sakit selama tiga setengah tahun tanpa diketahui penyebabnya sehingga keluarganya mengalami krisis finansial. Setelah ibunya meninggal, ayah Rini pergi untuk sebuah pekerjaan. Teror mulai muncul. Sosok hantu perempuan menyerupai ibu mereka menghantui… ",2017
19,Hantu Jeruk Purut Reborn,http://filmindonesia.or.id/movie/title/lf-h021-17-327772_hantu-jeruk-purut-reborn,"Papa Jenny meninggal dan dimakamkan di TPU Jeruk Purut. Masalah mulai ketika pulang ke rumah masing-masing. Farah, teman Jenny, diteror hantu. Farah mencaritakan hal ini pada Reno. Awalnya Reno tidak percaya. Rupanya hantu juga mendatangi Reno. Hantu juga merasuki Jenny. Jenny dan Farah kebingungan bagaimana cara menenangkan hantu yang marah. Reno yakin Airin bisa menolong mereka,… ",2017
20,Petak Umpet Minako,http://filmindonesia.or.id/movie/title/lf-p016-17-506813_petak-umpet-minako,"Sekelompok sahabat berkunjung ke sekolah lama mereka untuk reuni. Salah seorang dari mereka mengusulkan bermain petak umpet menggunakan boneka Itchimatsu dari Jepang bernama Minako. Permainan petak umpet Minako berasal dari urban legend Jepang yaitu Hitori Kakurenbo, sebuah permainan petak umpet dengan ritual memanggil arwah dan menggunakan boneka. Suasana ceria reuni berubah menjadi pengalaman mengerikan. Tidak hanya… ",2017
21,The Real Parakang: Warisan Berdarah,http://filmindonesia.or.id/movie/title/lf-t030-17-775976_the-real-parakang-warisan-berdarah,"Aksi Bagas yang memiliki ilmu hitam parakang, meresahkan warga. Rusman, mertuanya, yang tidak ingin melihat ada korban jiwa lagi, dengan sangat terpaksa menghabisinya dengan cara menembak kepalanya. Di saat sama, Elena, wartawati yang memiliki indra keenam, melihat seorang anak kecil mewarisi ilmu parakang. Elena yang tidak ingin ada korban jiwa dari aksi parakang, mengajak Rino untuk… ",2017
22,12:06 Rumah Kucing,http://filmindonesia.or.id/movie/title/lf-1015-17-651788_1206-rumah-kucing,"Banyak kejadian aneh dan menakutkan yang dialami keluarga Randy (Adi Nugroho) dan Rosa (Masayu Anastasia), sejak terbelahnya secara misterius lantai gudang di rumahnya pada 12.06. Kehadiran beberapa ekor kucing membuka kisah tragis masa lalu dan membangkitkan arwah Sally, yang meninggal dunia secara tidak wajar. Semula Randy tidak percaya pada cerita-cerita seram yang menakutkan yang dialami istri… ",2017
